epoch,learning_rate,da_miou,ll_acc,ll_iou
0,0.0005,0.8042,0.6009,0.1406
1,0.00049252,0.8216,0.6804,0.1851
2,0.00048508,0.8301,0.6794,0.1959
3,0.00047767,0.8350,0.6578,0.1909
4,0.0004703,0.8446,0.6728,0.2058
5,0.00046297,0.8438,0.6915,0.2043
6,0.00045568,0.8446,0.6749,0.2068
7,0.00044843,0.8485,0.6855,0.2154
8,0.00044122,0.8468,0.6843,0.2084
9,0.00043404,0.8536,0.6901,0.2143
10,0.00042691,0.8545,0.6815,0.2126
11,0.00041981,0.8553,0.6890,0.2199
12,0.00041276,0.8566,0.6857,0.2152
13,0.00040574,0.8550,0.6741,0.2132
14,0.00039877,0.8582,0.6868,0.2178
15,0.00039183,0.8591,0.7116,0.2241
16,0.00038494,0.8620,0.6968,0.2276
17,0.00037808,0.8597,0.6944,0.2223
18,0.00037127,0.8635,0.6954,0.2247
19,0.0003645,0.8626,0.7009,0.2251
20,0.00035777,0.8637,0.6992,0.2254
21,0.00035108,0.8629,0.6959,0.2276
22,0.00034444,0.8643,0.7071,0.2270
23,0.00033784,0.8610,0.6900,0.2235
24,0.00033128,0.8656,0.6855,0.2242
25,0.00032476,0.8662,0.6813,0.2219
26,0.00031829,0.8659,0.7028,0.2300
27,0.00031186,0.8664,0.7016,0.2315
28,0.00030547,0.8671,0.7148,0.2322
29,0.00029913,0.8673,0.7031,0.2303
30,0.00029283,0.8637,0.7014,0.2317
31,0.00028658,0.8659,0.6985,0.2308
32,0.00028037,0.8680,0.6838,0.2281
33,0.00027421,0.8686,0.7029,0.2340
34,0.00026809,0.8665,0.6916,0.2273
35,0.00026202,0.8694,0.7074,0.2325
36,0.000256,0.8654,0.6937,0.2298
37,0.00025002,0.8676,0.7015,0.2305
38,0.00024409,0.8685,0.7022,0.2310
39,0.00023821,0.8695,0.7036,0.2305
40,0.00023238,0.8694,0.6999,0.2343
41,0.00022659,0.8681,0.6945,0.2295
42,0.00022086,0.8703,0.6980,0.2314
43,0.00021517,0.8670,0.6904,0.2297
44,0.00020953,0.8684,0.6982,0.2345
45,0.00020395,0.8681,0.7064,0.2336
46,0.00019841,0.8701,0.7041,0.2348
47,0.00019292,0.8706,0.6969,0.2326
48,0.00018749,0.8711,0.6938,0.2330
49,0.00018211,0.8704,0.7022,0.2366
50,0.00017678,0.8702,0.7082,0.2374
51,0.0001715,0.8694,0.7028,0.2338
52,0.00016628,0.8700,0.7057,0.2367
53,0.00016111,0.8717,0.6973,0.2364
54,0.00015599,0.8708,0.7076,0.2385
55,0.00015093,0.8713,0.7053,0.2383
56,0.00014593,0.8719,0.6983,0.2328
57,0.00014098,0.8709,0.7070,0.2370
58,0.0001361,0.8705,0.7040,0.2366
59,0.00013126,0.8710,0.6923,0.2347
60,0.00012649,0.8716,0.7084,0.2349
61,0.00012178,0.8714,0.6987,0.2344
62,0.00011712,0.8727,0.7052,0.2372
63,0.00011253,0.8715,0.7029,0.2358
64,0.000108,0.8728,0.6998,0.2358
65,0.00010353,0.8732,0.7033,0.2357
66,9.913e-05,0.8719,0.7139,0.2395
67,9.479e-05,0.8733,0.7033,0.2381
68,9.051e-05,0.8731,0.6987,0.2348
69,8.63e-05,0.8733,0.7077,0.2387
70,8.216e-05,0.8729,0.7057,0.2381
71,7.808e-05,0.8735,0.6958,0.2345
72,7.408e-05,0.8713,0.7038,0.2367
73,7.015e-05,0.8730,0.7066,0.2373
74,6.629e-05,0.8727,0.7071,0.2382
75,6.25e-05,0.8733,0.6965,0.2361
76,5.879e-05,0.8727,0.7055,0.2373
77,5.515e-05,0.8731,0.7037,0.2384
78,5.159e-05,0.8708,0.6980,0.2364
79,4.812e-05,0.8729,0.7034,0.2377
80,4.472e-05,0.8742,0.7072,0.2386
81,4.141e-05,0.8717,0.6989,0.2352
82,3.818e-05,0.8732,0.7028,0.2373
83,3.505e-05,0.8723,0.6995,0.2367
84,3.2e-05,0.8739,0.7004,0.2369
85,2.905e-05,0.8740,0.7054,0.2382
86,2.619e-05,0.8738,0.7026,0.2380
87,2.344e-05,0.8738,0.7022,0.2379
88,2.078e-05,0.8745,0.7019,0.2375
89,1.824e-05,0.8737,0.7059,0.2396
90,1.581e-05,0.8726,0.7050,0.2391
91,1.35e-05,0.8727,0.7048,0.2370
92,1.131e-05,0.8736,0.7048,0.2386
93,9.26e-06,0.8738,0.7035,0.2381
94,7.35e-06,0.8746,0.7047,0.2380
95,5.59e-06,0.8741,0.7015,0.2381
96,4e-06,0.8744,0.7058,0.2393
97,2.6e-06,0.8743,0.7035,0.2379
98,1.41e-06,0.8746,0.7016,0.2379
99,5e-07,0.8738,0.7053,0.2384
